Start_Date,End_Date,Start_Time,End_Time,Event_Name,Event_Description,Event_Type,Event_Location,URL
7/17/2024,7/17/2024,14:38,18:01,Tech Innovators Summit,Annual Tech Conference,Conference,New York,http://example.com/event0
6/9/2024,6/10/2024,7:09,16:01,Summer Beats Fest,Music Festival,Festival,Los Angeles,http://example.com/event1
1/20/2024,1/22/2024,22:37,4:11,Modern Art Expo,Art Exhibition,Exhibition,Chicago,http://example.com/event2
12/19/2024,12/19/2024,14:21,8:57,City Marathon,Marathon,Marathon,Houston,http://example.com/event3
9/15/2024,9/15/2024,15:22,17:02,Global Culinary Fiesta,Food Fair,Fair,Phoenix,http://example.com/event4
5/10/2024,5/12/2024,9:43,21:16,Hope Charity Gala,Charity Gala,Gala,Philadelphia,http://example.com/event5
3/22/2024,3/22/2024,18:58,1:38,National Science Fair,Science Fair,Fair,San Antonio,http://example.com/event6
10/27/2024,10/27/2024,15:41,3:48,Innovative Startup Pitch,Startup Pitch Event,Pitch,San Diego,http://example.com/event7
1/30/2024,2/1/2024,7:06,4:39,Celebrity Book Signing,Book Signing,Signing,Dallas,http://example.com/event8
12/27/2024,12/27/2024,4:00,21:15,Hollywood Film Premiere,Film Premiere,Premiere,San Jose,http://example.com/event9
